t,yearvec,births.new,births.cumulative,births.cbr,deaths.new,deaths.cumulative,deaths.cmr,seir.n_susceptible,seir.n_infected,seir.n_exposed,seir.n_recovered,seir.prevalence,seir.new_infections,seir.cum_infections,n_alive,new_deaths,cum_deaths
2023.9999999999964,2023.9999999999964,61.0,2888.0,27.391109115401886,18.0,840.0,8.08262236192187,1873.0,3025.0,3117.0,18711.0,0.22983086364316718,185.0,25636.0,26724.0,21.0,1143.0
2024.0833333333296,2024.0833333333296,61.0,2949.0,27.346084877465632,11.0,851.0,4.931261207411835,1730.0,2945.0,3070.0,19025.0,0.2247086072922893,203.0,25839.0,26768.0,17.0,1164.0
2024.1666666666629,2024.1666666666629,61.0,3010.0,27.307319256882785,16.0,867.0,7.162575542788928,1639.0,2896.0,2971.0,19302.0,0.2188689099455346,152.0,25991.0,26806.0,23.0,1181.0
2024.2499999999961,2024.2499999999961,61.0,3071.0,27.269679245985916,18.0,885.0,8.046790597176173,1601.0,2841.0,2816.0,19588.0,0.21074395559363707,99.0,26090.0,26843.0,24.0,1204.0
2024.3333333333294,2024.3333333333294,61.0,3132.0,27.23011680678521,16.0,901.0,7.142325719812514,1579.0,2730.0,2670.0,19906.0,0.20087791086972695,83.0,26173.0,26882.0,22.0,1228.0
2024.4166666666626,2024.4166666666626,61.0,3193.0,27.184610242507517,7.0,908.0,3.1195454376647973,1618.0,2643.0,2473.0,20196.0,0.18999517213206077,22.0,26195.0,26927.0,16.0,1250.0
2024.499999999996,2024.499999999996,61.0,3254.0,27.14630076024476,22.0,930.0,9.790469126645652,1677.0,2533.0,2294.0,20464.0,0.17900982755423697,0.0,26195.0,26965.0,23.0,1266.0
2024.5833333333292,2024.5833333333292,61.0,3315.0,27.10508775827594,16.0,946.0,7.109531215285492,1715.0,2429.0,2167.0,20698.0,0.17018440346589647,23.0,26218.0,27006.0,20.0,1289.0
2024.6666666666624,2024.6666666666624,62.0,3377.0,27.510723265789085,17.0,963.0,7.543262830942169,1702.0,2343.0,2102.0,20900.0,0.16436178080165656,74.0,26292.0,27044.0,24.0,1309.0
2024.7499999999957,2024.7499999999957,62.0,3439.0,27.47313614711421,24.0,987.0,10.634762379528082,1670.0,2292.0,2032.0,21090.0,0.15966914072597024,93.0,26385.0,27081.0,25.0,1333.0
2024.833333333329,2024.833333333329,62.0,3501.0,27.43362831858407,18.0,1005.0,7.964601769911504,1629.0,2195.0,1998.0,21301.0,0.15460914454277286,103.0,26488.0,27120.0,23.0,1358.0
2024.9166666666622,2024.9166666666622,62.0,3563.0,27.389191577087324,14.0,1019.0,6.184656162568105,1566.0,2123.0,1990.0,21488.0,0.15141363569430127,125.0,26613.0,27164.0,18.0,1381.0
2024.9999999999955,2024.9999999999955,62.0,3625.0,27.350930078670686,20.0,1039.0,8.822880670538932,1522.0,2057.0,1959.0,21667.0,0.14763620322035145,106.0,26719.0,27202.0,24.0,1399.0
2025.0833333333287,2025.0833333333287,62.0,3687.0,27.3047563123899,15.0,1054.0,6.605989430416911,1480.0,1987.0,1932.0,21852.0,0.1438270698766882,102.0,26821.0,27248.0,16.0,1423.0
2025.166666666662,2025.166666666662,62.0,3749.0,27.255742389273546,11.0,1065.0,4.8356962303549835,1455.0,1951.0,1879.0,22015.0,0.1403084588049969,87.0,26908.0,27297.0,13.0,1439.0
2025.2499999999952,2025.2499999999952,62.0,3811.0,27.214865754627258,19.0,1084.0,8.34003950545029,1435.0,1930.0,1812.0,22164.0,0.13687906942717096,81.0,26989.0,27338.0,21.0,1452.0
2025.3333333333285,2025.3333333333285,62.0,3873.0,27.17014205894168,13.0,1097.0,5.696965270423255,1457.0,1882.0,1709.0,22338.0,0.1311397582441661,40.0,27029.0,27383.0,17.0,1473.0
2025.4166666666617,2025.4166666666617,62.0,3935.0,27.125565115939914,16.0,1113.0,7.000145836371591,1499.0,1852.0,1602.0,22478.0,0.1259297068688931,20.0,27049.0,27428.0,17.0,1490.0
2025.499999999995,2025.499999999995,63.0,3998.0,27.51993010811401,18.0,1131.0,7.86283717374686,1561.0,1789.0,1501.0,22623.0,0.1197626588038295,0.0,27049.0,27471.0,20.0,1507.0
2025.5833333333283,2025.5833333333283,63.0,4061.0,27.48091603053435,17.0,1148.0,7.4154852780806975,1608.0,1735.0,1411.0,22759.0,0.1143584151217739,15.0,27064.0,27510.0,24.0,1527.0
2025.6666666666615,2025.6666666666615,63.0,4124.0,27.44002032594098,20.0,1168.0,8.711117563790788,1629.0,1670.0,1372.0,22884.0,0.11041341512104824,42.0,27106.0,27551.0,22.0,1551.0
2025.7499999999948,2025.7499999999948,63.0,4187.0,27.397260273972602,20.0,1188.0,8.697542944118286,1597.0,1607.0,1388.0,23006.0,0.10853808799014278,93.0,27199.0,27594.0,20.0,1573.0
2025.833333333328,2025.833333333328,63.0,4250.0,27.35463328147049,19.0,1207.0,8.24981003726888,1578.0,1549.0,1383.0,23131.0,0.10608966240908926,82.0,27281.0,27637.0,20.0,1593.0
2025.9166666666613,2025.9166666666613,63.0,4313.0,27.316086139615553,23.0,1230.0,9.972539384304092,1541.0,1507.0,1400.0,23232.0,0.10503685503685503,100.0,27381.0,27676.0,24.0,1613.0
2025.9999999999945,2025.9999999999945,63.0,4376.0,27.27272727272727,17.0,1247.0,7.35930735930736,1510.0,1479.0,1414.0,23321.0,0.10436507936507937,94.0,27475.0,27720.0,19.0,1637.0
2026.0833333333278,2026.0833333333278,63.0,4439.0,27.234410461471956,20.0,1267.0,8.645844590943478,1496.0,1465.0,1393.0,23409.0,0.10295759933715191,76.0,27551.0,27759.0,24.0,1656.0
2026.166666666661,2026.166666666661,63.0,4502.0,27.188376609364884,13.0,1280.0,5.61029993526577,1487.0,1424.0,1384.0,23515.0,0.10098539883478386,71.0,27622.0,27806.0,16.0,1680.0
2026.2499999999943,2026.2499999999943,63.0,4565.0,27.147371444987073,19.0,1299.0,8.187302499281817,1497.0,1413.0,1333.0,23609.0,0.09860672220626257,53.0,27675.0,27848.0,21.0,1696.0
2026.3333333333276,2026.3333333333276,64.0,4629.0,27.536751523843673,21.0,1320.0,9.035496593761204,1524.0,1388.0,1279.0,23703.0,0.09562567228397276,36.0,27711.0,27890.0,22.0,1717.0
2026.4166666666608,2026.4166666666608,64.0,4693.0,27.48452206277064,11.0,1331.0,4.723902229538703,1583.0,1389.0,1189.0,23786.0,0.09225924202841498,5.0,27716.0,27943.0,11.0,1739.0
2026.499999999994,2026.499999999994,64.0,4757.0,27.43151051898418,10.0,1341.0,4.286173518591277,1645.0,1350.0,1114.0,23892.0,0.0880094295817409,0.0,27716.0,27997.0,10.0,1750.0
2026.5833333333273,2026.5833333333273,64.0,4821.0,27.389443651925824,16.0,1357.0,6.847360912981456,1692.0,1319.0,1053.0,23980.0,0.08459343794579173,17.0,27733.0,28040.0,21.0,1760.0
2026.6666666666606,2026.6666666666606,64.0,4885.0,27.349453367045335,23.0,1380.0,9.828709803781916,1723.0,1249.0,1037.0,24076.0,0.08140735728784587,31.0,27764.0,28081.0,23.0,1781.0
2026.7499999999939,2026.7499999999939,64.0,4949.0,27.306666666666665,18.0,1398.0,7.680000000000001,1726.0,1214.0,1033.0,24156.0,0.07989333333333333,61.0,27825.0,28125.0,20.0,1804.0
2026.8333333333271,2026.8333333333271,64.0,5013.0,27.26304579339723,17.0,1415.0,7.24174653887114,1722.0,1200.0,1032.0,24220.0,0.0792332268370607,67.0,27892.0,28170.0,19.0,1824.0
2026.9166666666604,2026.9166666666604,64.0,5077.0,27.226318774815656,24.0,1439.0,10.209869540555871,1712.0,1186.0,1022.0,24292.0,0.07827566647759501,70.0,27962.0,28208.0,26.0,1843.0
2026.9999999999936,2026.9999999999936,64.0,5141.0,27.19450444389363,29.0,1468.0,12.322509826139301,1721.0,1173.0,1012.0,24339.0,0.07736978152331717,52.0,28014.0,28241.0,31.0,1869.0
2027.083333333327,2027.083333333327,64.0,5205.0,27.156041158374883,21.0,1489.0,8.910576005091759,1714.0,1146.0,1001.0,24424.0,0.07591669318623812,70.0,28084.0,28281.0,24.0,1900.0
2027.1666666666601,2027.1666666666601,64.0,5269.0,27.106201249426466,10.0,1499.0,4.235343945222885,1711.0,1116.0,1012.0,24498.0,0.0751067659619525,67.0,28151.0,28333.0,12.0,1924.0
2027.2499999999934,2027.2499999999934,65.0,5334.0,27.487049370969444,19.0,1518.0,8.034675969975684,1728.0,1104.0,987.0,24562.0,0.07368643619832964,47.0,28198.0,28377.0,21.0,1936.0
2027.3333333333267,2027.3333333333267,65.0,5399.0,27.43773744195863,13.0,1531.0,5.487547488391726,1767.0,1085.0,951.0,24629.0,0.07161953004080485,25.0,28223.0,28428.0,14.0,1957.0
2027.41666666666,2027.41666666666,65.0,5464.0,27.394373617110947,19.0,1550.0,8.007586134232431,1821.0,1079.0,891.0,24686.0,0.06918835387911354,11.0,28234.0,28473.0,20.0,1971.0
2027.4999999999932,2027.4999999999932,65.0,5529.0,27.34731084776664,15.0,1565.0,6.310917887946148,1886.0,1045.0,840.0,24755.0,0.06608933454876938,0.0,28234.0,28522.0,16.0,1991.0
2027.5833333333264,2027.5833333333264,65.0,5594.0,27.304232155984177,19.0,1584.0,7.981237091749222,1937.0,1007.0,809.0,24818.0,0.06356985332726572,13.0,28247.0,28567.0,20.0,2007.0
2027.6666666666597,2027.6666666666597,65.0,5659.0,27.258430892888345,17.0,1601.0,7.12912807967849,1970.0,968.0,803.0,24878.0,0.061890616809365716,31.0,28278.0,28615.0,17.0,2027.0
2027.749999999993,2027.749999999993,65.0,5724.0,27.22133035527326,25.0,1626.0,10.46974244433587,1993.0,939.0,800.0,24926.0,0.06068960703566692,42.0,28320.0,28654.0,26.0,2044.0
2027.8333333333262,2027.8333333333262,65.0,5789.0,27.18717323109097,26.0,1652.0,10.874869292436388,1996.0,910.0,812.0,24976.0,0.06002091321017776,58.0,28378.0,28690.0,29.0,2070.0
2027.9166666666595,2027.9166666666595,65.0,5854.0,27.146486618174226,21.0,1673.0,8.770403368948594,2011.0,911.0,814.0,25001.0,0.06003549925173146,50.0,28428.0,28733.0,22.0,2099.0
2027.9999999999927,2027.9999999999927,66.0,5920.0,27.514330380406463,14.0,1687.0,5.83637311099531,1997.0,897.0,840.0,25055.0,0.06034392912975508,78.0,28506.0,28785.0,14.0,2121.0
2028.083333333326,2028.083333333326,66.0,5986.0,27.472336882999755,21.0,1708.0,8.741198099136286,1993.0,915.0,835.0,25090.0,0.060702764577335325,67.0,28573.0,28829.0,22.0,2135.0
2028.1666666666592,2028.1666666666592,66.0,6052.0,27.430471374640668,21.0,1729.0,8.727877255567487,2011.0,907.0,816.0,25143.0,0.05967512901326499,47.0,28620.0,28873.0,22.0,2157.0
2028.2499999999925,2028.2499999999925,66.0,6118.0,27.38494519553266,17.0,1746.0,7.053698004909927,2038.0,891.0,810.0,25186.0,0.058815393658587185,39.0,28659.0,28921.0,18.0,2179.0
2028.3333333333258,2028.3333333333258,66.0,6184.0,27.338626164998274,15.0,1761.0,6.213324128408699,2074.0,877.0,789.0,25234.0,0.05750776665516051,30.0,28689.0,28970.0,17.0,2197.0
2028.416666666659,2028.416666666659,66.0,6250.0,27.30281301709873,23.0,1784.0,9.514616657473802,2131.0,844.0,752.0,25285.0,0.05501930501930502,7.0,28696.0,29008.0,28.0,2214.0
2028.4999999999923,2028.4999999999923,66.0,6316.0,27.259585599229023,20.0,1804.0,8.260480484614856,2195.0,835.0,706.0,25322.0,0.05303916844496455,0.0,28696.0,29054.0,20.0,2242.0
2028.5833333333255,2028.5833333333255,66.0,6382.0,27.209014703861484,11.0,1815.0,4.534835783976914,2258.0,811.0,673.0,25370.0,0.050982547753194996,3.0,28699.0,29108.0,12.0,2262.0
2028.6666666666588,2028.6666666666588,66.0,6448.0,27.175404886082898,28.0,1843.0,11.52895964864123,2293.0,789.0,661.0,25404.0,0.04975295086467198,28.0,28727.0,29144.0,30.0,2274.0
2028.749999999992,2028.749999999992,66.0,6514.0,27.127003699136868,13.0,1856.0,5.343197698314837,2324.0,770.0,661.0,25443.0,0.04901356350184957,34.0,28761.0,29196.0,14.0,2304.0
2028.8333333333253,2028.8333333333253,67.0,6581.0,27.482481627072296,7.0,1863.0,2.8713040505896426,2338.0,742.0,685.0,25492.0,0.04877798666894548,51.0,28812.0,29255.0,8.0,2318.0
2028.9166666666586,2028.9166666666586,67.0,6648.0,27.428103571794082,8.0,1871.0,3.274997441408249,2344.0,736.0,701.0,25534.0,0.049022617951079726,61.0,28873.0,29313.0,9.0,2326.0
2028.9999999999918,2028.9999999999918,67.0,6715.0,27.381398358478357,16.0,1887.0,6.538841399039608,2349.0,726.0,714.0,25576.0,0.04904131049279706,59.0,28932.0,29363.0,17.0,2335.0
2029.083333333325,2029.083333333325,67.0,6782.0,27.338569825563603,19.0,1906.0,7.752728756503111,2367.0,716.0,709.0,25619.0,0.048454554728144444,47.0,28979.0,29409.0,21.0,2352.0
2029.1666666666583,2029.1666666666583,67.0,6849.0,27.298655439358956,24.0,1930.0,9.778622843949478,2382.0,732.0,702.0,25638.0,0.04868939291049844,51.0,29030.0,29452.0,24.0,2373.0
2029.2499999999916,2029.2499999999916,67.0,6916.0,27.25793327908869,23.0,1953.0,9.35720097640358,2406.0,724.0,692.0,25676.0,0.04800650935720097,41.0,29071.0,29496.0,23.0,2397.0
2029.3333333333248,2029.3333333333248,67.0,6983.0,27.210884353741495,16.0,1969.0,6.498121636714387,2444.0,724.0,675.0,25706.0,0.047348292550851184,28.0,29099.0,29547.0,16.0,2420.0
2029.416666666658,2029.416666666658,67.0,7050.0,27.174096731672694,27.0,1996.0,10.950755399330786,2497.0,704.0,639.0,25749.0,0.04539155710278163,12.0,29111.0,29587.0,27.0,2436.0
2029.4999999999914,2029.4999999999914,68.0,7118.0,27.538726333907057,24.0,2020.0,9.719550470790725,2561.0,687.0,592.0,25793.0,0.043164253653268536,0.0,29111.0,29631.0,24.0,2463.0
2029.5833333333246,2029.5833333333246,68.0,7186.0,27.4858528698464,11.0,2031.0,4.44624090541633,2618.0,666.0,572.0,25834.0,0.04170035030988952,10.0,29121.0,29688.0,11.0,2487.0
2029.6666666666579,2029.6666666666579,68.0,7254.0,27.434104357181283,12.0,2043.0,4.841312533620226,2663.0,665.0,563.0,25855.0,0.041285637439483595,21.0,29142.0,29744.0,12.0,2498.0
2029.7499999999911,2029.7499999999911,68.0,7322.0,27.393581307909226,24.0,2067.0,9.668322814556197,2690.0,646.0,572.0,25882.0,0.04088894856989392,40.0,29182.0,29788.0,24.0,2510.0
2029.8333333333244,2029.8333333333244,68.0,7390.0,27.357763100546485,27.0,2094.0,10.86264123109934,2698.0,634.0,591.0,25906.0,0.041070171321286084,58.0,29240.0,29827.0,29.0,2534.0
2029.9166666666576,2029.9166666666576,68.0,7458.0,27.310150942133273,15.0,2109.0,6.024298001941163,2706.0,638.0,603.0,25934.0,0.04153418789116101,60.0,29300.0,29879.0,16.0,2563.0
2029.999999999991,2029.999999999991,68.0,7526.0,27.270904351313416,22.0,2131.0,8.822939643071987,2713.0,638.0,620.0,25953.0,0.042042644208274846,60.0,29360.0,29922.0,25.0,2579.0
